"Designator","Val","Package","Mid X","Mid Y","Rotation","Layer"
"C1","27p","C_0402_1005Metric",10.414000,24.892000,90.000000,top
"C2","27p","C_0402_1005Metric",5.842000,27.051000,90.000000,top
"C3","10u","C_0805_2012Metric",7.620000,9.332000,90.000000,top
"C4","100n","C_0402_1005Metric",16.560800,15.290800,180.000000,top
"C5","10u","C_0805_2012Metric",16.002000,4.953000,-90.000000,top
"C6","10u","C_0805_2012Metric",5.588000,9.332000,-90.000000,top
"C7","100n","C_0402_1005Metric",8.001000,13.053000,-90.000000,top
"C8","100n","C_0402_1005Metric",3.810000,26.035000,90.000000,top
"C9","1u","C_0402_1005Metric",2.921000,14.224000,-90.000000,top
"C10","100n","C_0402_1005Metric",1.016000,17.526000,90.000000,top
"C11","1u","C_0402_1005Metric",1.905000,14.224000,-90.000000,top
"C12","100n","C_0402_1005Metric",1.016000,21.082000,90.000000,top
"C13","100n","C_0402_1005Metric",4.826000,26.035000,90.000000,top
"C14","100n","C_0402_1005Metric",10.414000,21.308000,90.000000,top
"C15","100n","C_0402_1005Metric",10.499000,17.867000,90.000000,top
"C16","100n","C_0402_1005Metric",6.858000,13.081000,-90.000000,top
"C17","100n","C_0402_1005Metric",0.889000,14.224000,-90.000000,top
"J1","USB_C_Receptacle_USB2.0","USB_C_Receptacle_HRO_TYPE-C-31-M-12",9.144000,2.286000,0.000000,top
"J3","DBG","PinHeader_1x04_P1.00mm_Vertical",7.239000,41.681400,-90.000000,top
"J4","LED","PinHeader_1x02_P1.00mm_Vertical",13.589000,41.656000,-90.000000,top
"P3","CONN_01X01","1pin_Nano",1.270000,41.910000,0.000000,top
"P4","CONN_01X01","1pin_Nano",1.270000,1.270000,0.000000,top
"P5","CONN_01X01","1pin_Nano",16.510000,1.270000,0.000000,top
"P6","CONN_01X01","1pin_Nano",16.510000,41.910000,0.000000,top
"R1","1k","R_0402_1005Metric",16.538000,26.035000,0.000000,top
"R2","5.1k","R_0402_1005Metric",2.794000,7.239000,180.000000,top
"R3","10k","R_0402_1005Metric",14.605000,26.035000,0.000000,top
"R4","5.1k","R_0402_1005Metric",2.792000,8.255000,0.000000,top
"R5","1k","R_0402_1005Metric",5.842000,25.146000,90.000000,top
"R6","27","R_0402_1005Metric",5.334000,14.224000,90.000000,top
"R7","27","R_0402_1005Metric",4.191000,14.224000,90.000000,top
"SW1","Boot","SW_SPST_CK_KXT3",15.290800,27.813000,180.000000,top
"Sensor0","CONN_01x04","JST_SH_BM04B-SRSS-TB_1x04-1MP_P1.00mm_Vertical",4.826000,37.515800,0.000000,top
"Sensor1","CONN_01x04","JST_SH_BM04B-SRSS-TB_1x04-1MP_P1.00mm_Vertical",13.208000,37.515800,180.000000,top
"Sensor2","CONN_01x04","JST_SH_BM04B-SRSS-TB_1x04-1MP_P1.00mm_Vertical",4.851400,32.029400,0.000000,top
"Sensor3","CONN_01x04","JST_SH_BM04B-SRSS-TB_1x04-1MP_P1.00mm_Vertical",13.182600,32.004000,180.000000,top
"U1","W25Q128JVS","SOIC-8_5.23x5.23mm_P1.27mm",14.605000,20.447000,-90.000000,top
"U2","NCP1117-3.3_SOT223","SOT-223-3_TabPin2",13.081000,11.176000,0.000000,top
"U3","RP2040","RP2040-QFN-56",5.715000,19.558000,180.000000,top
"XTAL1","XRCGB27M120F3M00R0","Crystal_SMD_3225-4Pin_3.2x2.5mm",8.128000,25.908000,-90.000000,top
